date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:20	1377/1377	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202023%2000:34:49%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_1_e0b6911d-ab61-4fe3-bf10-e6ea479e7fac_300x.png?v=1684230836	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_1_e0b6911d-ab61-4fe3-bf10-e6ea479e7fac_300x59b6.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:20	106449/106449	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Oct%202023%2012:26:00%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/led-thumbnail-01_300x.png?v=1684230144	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/led-thumbnail-01_300x002e.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:21	166071/166071	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2011:04:33%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/before-02_300x.png?v=1684230937	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/before-02_300x6fe5.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:21	164519/164519	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2016:26:27%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/after-02_300x.png?v=1684230937	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/after-02_300x6fe5.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:22	770/770	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2004:23:55%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_2_691be485-2bf6-411a-ab5e-5be7676bd908_300x.png?v=1684230996	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Mask_Group_2_691be485-2bf6-411a-ab5e-5be7676bd908_300x3585.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:23	159232/159232	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2010:22:46%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/before-03_300x.png?v=1684231314	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/before-03_300xa1fc.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:23	169263/169263	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2004:23:51%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/after-03_300x.png?v=1684231314	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/after-03_300xa1fc.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:24	51239/51239	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Oct%202023%2002:38:00%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/mi-thumbnail-01_300x.png?v=1684231494	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/mi-thumbnail-01_300x238a.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:25	103885/103885	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202023%2011:04:34%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/before-04_300x.png?v=1684231313	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/before-04_300x4abf.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:26	103865/103865	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202023%2023:58:05%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/after-04_300x.png?v=1684231313	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/after-04_300x4abf.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:26	11281/11281	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Oct%202023%2005:54:00%20GMT	https://cdn.shopify.com/s/files/1/0441/1431/3365/files/Ellipse_66_94c51ed0-353c-422b-92a0-6d40820255ee.png?v=1684232860	E:/AWS/Qure/cdn.shopify.com/s/files/1/0441/1431/3365/files/Ellipse_66_94c51ed0-353c-422b-92a0-6d40820255ee233f.png	(from https://qureskincaredns.com/live-homepage.html)
